X;Y;OBJECTID;created_date;created_user;src_geo;clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_arb_etat;fk_stadedev;fk_port;fk_pied;fk_situation;fk_revetement;commentaire_environnement;dte_plantation;age_estim;fk_prec_estim;clc_nbr_diag;dte_abattage;fk_nomtech;last_edited_user;last_edited_date;villeca;nomfrancais;nomlatin;GlobalID;CreationDate;Creator;EditDate;Editor;feuillage;remarquable
1720320.1079;8294619.3561;1;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Richelieu;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;01/07/2015;RAS;mickael.delaere;03/01/2018;Ville;RAS;RAS;{476EB2CE-1FD4-4F89-8162-79D75651225A};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720898.3008;8293531.1339;2;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Léon Blum;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{B5A9F630-92C5-4B8A-A934-0CABDA46085E};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720893.8397;8293542.4499;3;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Léon Blum;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{F5914EAD-05CD-4ADF-A7C9-55EFF91B2ABE};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720901.6502;8293545.4667;4;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Léon Blum;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{41168E06-B7C0-43CD-B8FE-7495B6E93AB5};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1721089.0648;8293619.3387;5;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Léon Blum;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{4F0E4B12-4612-4F61-9911-43684831FD7D};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720078.1392;8294129.2045;6;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{C3715C70-1D63-4C1E-A017-C0656033DAA5};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720807.2252;8293508.0557;7;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Léon Blum;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{F397ECCB-36A9-4039-A311-CE5EFC99EB1E};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720077.2653;8294122.8616;8;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;01/07/2017;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{05434A16-E9E1-4BE3-AD01-0EE14405EF86};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720076.3275;8294116.0059;9;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;01/07/2017;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{140E8C80-724B-488D-9324-698AE2444A4B};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1721095.6459;8293514.7374;10;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Quai Gayant;6;2;37;EN PLACE;Jeune;Semi libre;Gazon;Alignement;Non;RAS;;15;0,5;0;;QUERUB;mickael.delaere;02/02/2017;Ville;QUERUB;QUERUB;{B33346A7-0DE2-428E-A48D-4B231368284C};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;Feuillu;Non
1721028.5597;8294944.197;11;02/02/2017;mickael.delaere;Orthophoto;Quartier Remicourt;Boulevard Roosevelt;0;0;0;ABATTU;;;;Alignement;;Fosse supprimée;;0;0;0;;RAS;mickael.delaere;03/01/2018;Ville;RAS;RAS;{36B90059-AC9B-437C-BE3B-9E6DE49CF869};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720198.5467;8294496.7084;12;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Richelieu;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;10/05/2017;Ville;RAS;RAS;{1E55EDD9-4D3A-40C0-9788-31864D50E8C9};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720067.8437;8294056.0235;13;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ESSOUCHE;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{F07B1C31-7F3C-4822-BE9F-2A6D27000AB0};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1719614.1543;8294268.6843;14;02/02/2017;mickael.delaere;Orthophoto;Quartier Saint-Martin - Oëstres;Rue Alexandre Dumas;0;0;0;ABATTU;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{C43750F6-3B77-4202-B4D3-EFD79C4026CC};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720066.9166;8294050.0521;15;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ESSOUCHE;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{8860C160-147C-4DBC-8DE8-431EE7B6F230};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720065.2968;8294038.2626;16;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ESSOUCHE;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{DA116259-DA09-4CF6-8344-F761FC54DD78};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
1720064.343;8294032.1507;17;02/02/2017;mickael.delaere;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ESSOUCHE;;;;Alignement;;RAS;;0;0;0;;RAS;mickael.delaere;02/02/2017;Ville;RAS;RAS;{EF84C57B-03D7-4291-B456-33AC46DA5F6D};15/01/2018;mickael.delaere;15/01/2018;mickael.delaere;;Non
